No. Anggota,Daerah pemilihan,Nama,Jenis Kelamin,Komisi,Fraksi,Jabatan,Provinsi,Koalisi
5,Sumatera Barat I,Rico Alviano S.T.,Laki-Laki,Komisi XII,PKB,-,Sumatera Barat,Oposisi
74,Sumatera Barat I,Andre Rosiade,Laki-Laki,Komisi VI,Gerindra,Wakil Ketua Komisi VI DPR RI,Sumatera Barat,Koalisi Pemerintah
162,Sumatera Barat I,Alex Indra Lukman S.Sos.,Laki-Laki,Komisi IV,PDI-P,Wakil Ketua Komisi IV DPR RI,Sumatera Barat,Oposisi
275,Sumatera Barat I,"Zigo Rolanda S.E, M.M.",Laki-Laki,Komisi V,Golkar,-,Sumatera Barat,Koalisi Pemerintah
371,Sumatera Barat I,"Dr. Hj. Lisda Hendrajoni S.E., M.M.Tr.",Perempuan,Komisi VIII,NasDem,-,Sumatera Barat,Oposisi
372,Sumatera Barat I,"Ir. M. Shadiq Pasadigoe S.H., M.M.",Laki-Laki,Komisi XIII,NasDem,-,Sumatera Barat,Oposisi
439,Sumatera Barat I,H. Rahmat Saleh S.Farm.,Laki-Laki,Komisi II,PKS,-,Sumatera Barat,Oposisi
491,Sumatera Barat I,Athari Ghauthi Ardi S.H.,Perempuan,Komisi V,PAN,-,Sumatera Barat,Koalisi Pemerintah
75,Sumatera Barat II,"Ade Rezki Pratama S.E., M.M.",Laki-Laki,Komisi IX,Gerindra,-,Sumatera Barat,Koalisi Pemerintah
276,Sumatera Barat II,"H. Benny Utama S.H., M.M.",Laki-Laki,Komisi III,Golkar,-,Sumatera Barat,Koalisi Pemerintah
373,Sumatera Barat II,Cindy Monica Salsabila Setiawan S.M.,Perempuan,Komisi IV,NasDem,-,Sumatera Barat,Oposisi
440,Sumatera Barat II,Nevi Zuairina,Perempuan,Komisi XII,PKS,-,Sumatera Barat,Oposisi
492,Sumatera Barat II,H. Arisal Aziz,Laki-Laki,Komisi XIII,PAN,-,Sumatera Barat,Koalisi Pemerintah
540,Sumatera Barat II,Ir. H. Mulyadi,Laki-Laki,Komisi XII,Demokrat,-,Sumatera Barat,Koalisi Pemerintah
6,Riau I,Iyeth Bustami,Perempuan,Komisi XII,PKB,-,Riau,Oposisi
76,Riau I,Muhammad Rahul S.H.,Laki-Laki,Komisi III,Gerindra,-,Riau,Koalisi Pemerintah
163,Riau I,Hj. Dewi Juliani S.H.,Perempuan,Komisi III,PDI-P,-,Riau,Oposisi
277,Riau I,dr. Maharani M.M.,Perempuan,Komisi IX,Golkar,-,Riau,Koalisi Pemerintah
278,Riau I,"Dr. Hj. Karmila Sari S.Kom, M.M.",Perempuan,Komisi X,Golkar,-,Riau,Koalisi Pemerintah
