No. Anggota,Daerah pemilihan,Nama,Jenis Kelamin,Komisi,Fraksi,Jabatan,Provinsi,Koalisi
100,Jawa Barat VII,drg. Hj. Putih Sari M.Dsc.,Perempuan,Komisi IX,Gerindra,Wakil Ketua Komisi IX DPR RI,Jawa Barat,Koalisi Pemerintah
101,Jawa Barat VII,Obon Tabroni,Laki-Laki,Komisi IX,Gerindra,-,Jawa Barat,Koalisi Pemerintah
183,Jawa Barat VII,Dr. Rieke Diah Pitaloka,Perempuan,Komisi VI,PDI-P,-,Jawa Barat,Oposisi
302,Jawa Barat VII,Puteri Komarudin,Perempuan,Komisi XI,Golkar,-,Jawa Barat,Koalisi Pemerintah
385,Jawa Barat VII,Saan Mustopa,Laki-Laki,Komisi II,NasDem,Wakil Ketua DPR-RI,Jawa Barat,Oposisi
459,Jawa Barat VII,H. Jalal Abdul Nasir Ak.,Laki-Laki,Komisi XII,PKS,-,Jawa Barat,Oposisi
506,Jawa Barat VII,Verrell Bramasta,Laki-Laki,Komisi X,PAN,-,Jawa Barat,Koalisi Pemerintah
552,Jawa Barat VII,dr. Hj. Cellica Nurrachadiana M.H.Kes,Perempuan,Komisi IX,Demokrat,Wakil Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Barat,Koalisi Pemerintah
23,Jawa Barat VIII,H. Dedi Wahidi,Laki-Laki,Komisi X,PKB,-,Jawa Barat,Oposisi
102,Jawa Barat VIII,Kardaya Warnika,Laki-Laki,Komisi VII,Gerindra,-,Jawa Barat,Koalisi Pemerintah
184,Jawa Barat VIII,Prof. Dr. Ir. H. Rokhmin Dahuri M.S.,Laki-Laki,Komisi IV,PDI-P,-,Jawa Barat,Oposisi
185,Jawa Barat VIII,"Hj. Selly Andriany Gantina A.Md., S.T.",Perempuan,Komisi VIII,PDI-P,-,Jawa Barat,Oposisi
303,Jawa Barat VIII,H. Daniel Mutaqien Syafiuddin S.T.,Laki-Laki,Komisi V,Golkar,-,Jawa Barat,Koalisi Pemerintah
304,Jawa Barat VIII,Dave Akbarshah Firkarno M.E.,Laki-Laki,Komisi I,Golkar,Wakil Ketua Komisi I DPR RI,Jawa Barat,Koalisi Pemerintah
386,Jawa Barat VIII,"Satori S.Pd.I., M.M.",Laki-Laki,Komisi VIII,NasDem,-,Jawa Barat,Oposisi
460,Jawa Barat VIII,Dr. Hj. Netty Prasetiyani M.Si.,Perempuan,Komisi IX,PKS,Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Barat,Oposisi
553,Jawa Barat VIII,Dr. Ir. H. E. Herman Khaeron M.Si.,Laki-Laki,Komisi VI,Demokrat,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Jawa Barat,Koalisi Pemerintah
24,Jawa Barat IX,K. H. Maman Imanul Haq M.M.,Laki-Laki,Komisi VIII,PKB,-,Jawa Barat,Oposisi
103,Jawa Barat IX,"Dr. H. Jefry Romdonny S.E., S.Sos., M.Si., M.M.",Laki-Laki,Komisi XI,Gerindra,-,Jawa Barat,Koalisi Pemerintah
186,Jawa Barat IX,"Dr. H. Hasanuddin S.E., M.M.",Laki-Laki,Komisi I,PDI-P,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI,Jawa Barat,Oposisi
305,Jawa Barat IX,"Elita Budiati S.K.M., M.Si.",Perempuan,Komisi I,Golkar,-,Jawa Barat,Koalisi Pemerintah
306,Jawa Barat IX,Galih Dimuntur Kartasasmita,Laki-Laki,Komisi XI,Golkar,-,Jawa Barat,Koalisi Pemerintah
387,Jawa Barat IX,"Ujang Bey S.I.P., M.I.P.",Laki-Laki,Komisi II,NasDem,-,Jawa Barat,Oposisi
461,Jawa Barat IX,Ir. H. Ateng Sutisna,Laki-Laki,Komisi II,PKS,-,Jawa Barat,Oposisi
507,Jawa Barat IX,"Farah Puteri Nahlia B.A., M.Sc.",Perempuan,Komisi I,PAN,-,Jawa Barat,Koalisi Pemerintah
25,Jawa Barat X,"Rina Sa'adah Lc., M.Si.",Perempuan,Komisi IV,PKB,-,Jawa Barat,Oposisi
104,Jawa Barat X,H. Rokhmat Ardiyan M.M.,Laki-Laki,Komisi XII,Gerindra,-,Jawa Barat,Koalisi Pemerintah
187,Jawa Barat X,Hj. Ida Nurlaela Wiradinata,Perempuan,Komisi VI,PDI-P,-,Jawa Barat,Oposisi
307,Jawa Barat X,"Dr. Tr. Agun Gunandjar S. Bc.I.P., M.Si.",Laki-Laki,Komisi XIII,Golkar,Wakil Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Barat,Koalisi Pemerintah
388,Jawa Barat X,"Dr. Shohibul Imam CA., CPA.",Laki-Laki,Komisi XI,NasDem,-,Jawa Barat,Oposisi
462,Jawa Barat X,"Dr. K. H. Surahman Hidayat Lc., M.A.",Laki-Laki,Komisi III,PKS,-,Jawa Barat,Oposisi
508,Jawa Barat X,Ir. H. Herry Dermawan,Laki-Laki,Komisi IV,PAN,-,Jawa Barat,Koalisi Pemerintah
26,Jawa Barat XI,Hj. Imas Aan Ubudiah S.Pd.I.,Perempuan,Komisi VI,PKB,-,Jawa Barat,Oposisi
27,Jawa Barat XI,H. Oleh Soleh S.H.,Laki-Laki,Komisi I,PKB,-,Jawa Barat,Oposisi
105,Jawa Barat XI,"Muhammad Husein Fadlulloh B.Bus., M.M., M.B.A.",Laki-Laki,Komisi VI,Gerindra,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI,Jawa Barat,Koalisi Pemerintah
106,Jawa Barat XI,Mulan Jameela S.S.,Perempuan,Komisi VI,Gerindra,-,Jawa Barat,Koalisi Pemerintah
188,Jawa Barat XI,Dony Maryadi Oekon S.T.,Laki-Laki,Komisi XII,PDI-P,Wakil Ketua Komisi XII DPR RI,Jawa Barat,Oposisi
308,Jawa Barat XI,Ade Ginanjar S.Sos.,Laki-Laki,Komisi II,Golkar,-,Jawa Barat,Koalisi Pemerintah
309,Jawa Barat XI,"Ferdiansyah S.E., M.M.",Laki-Laki,Komisi X,Golkar,-,Jawa Barat,Koalisi Pemerintah
389,Jawa Barat XI,Lola Nelria Oktavia,Perempuan,Komisi III,NasDem,-,Jawa Barat,Oposisi
463,Jawa Barat XI,"H. Mohamad Sohibul Iman M.Sc., Ph.D.",Laki-Laki,Komisi XIII,PKS,-,Jawa Barat,Oposisi
509,Jawa Barat XI,"Muhammad Hoerudin Amin S.Ag., M.H.",Laki-Laki,Komisi X,PAN,-,Jawa Barat,Koalisi Pemerintah
28,Jawa Tengah I,H. Alamuddin Dimyati Rois S.Sos.,Laki-Laki,Komisi IX,PKB,-,Jawa Tengah,Oposisi
107,Jawa Tengah I,Jamal Mirdad,Laki-Laki,Komisi I,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
189,Jawa Tengah I,"Mochamad Herviano Widyatama S.Sos., M.M.",Laki-Laki,Komisi V,PDI-P,-,Jawa Tengah,Oposisi
190,Jawa Tengah I,Samuel J. D. Wattimena,Laki-Laki,Komisi VII,PDI-P,-,Jawa Tengah,Oposisi
310,Jawa Tengah I,Firnando Hadityo Ganinduto B.A.,Laki-Laki,Komisi VI,Golkar,-,Jawa Tengah,Koalisi Pemerintah
390,Jawa Tengah I,Drs. Fadholi,Laki-Laki,Komisi V,NasDem,-,Jawa Tengah,Oposisi
464,Jawa Tengah I,"Dr. H. Muhammad Haris S.S., M.Si.",Laki-Laki,Komisi XII,PKS,-,Jawa Tengah,Oposisi
554,Jawa Tengah I,dr. Raja Faisal Manganju Sitorus,Laki-Laki,Komisi XIII,Demokrat,-,Jawa Tengah,Koalisi Pemerintah
29,Jawa Tengah II,Hj. Hindun Anisah M.A.,Perempuan,Komisi IV,PKB,-,Jawa Tengah,Oposisi
108,Jawa Tengah II,Abdul Wachid,Laki-Laki,Komisi VIII,Gerindra,Wakil Ketua Komisi VIII DPR RI,Jawa Tengah,Koalisi Pemerintah
191,Jawa Tengah II,"Dr. H. Musthofa S.E., M.M.",Laki-Laki,Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
192,Jawa Tengah II,"Gilang Dhielafararez S.H., LL.M.",Laki-Laki,Komisi III,PDI-P,-,Jawa Tengah,Oposisi
311,Jawa Tengah II,Andhika Satya Wasistho,Laki-Laki,Komisi VII,Golkar,-,Jawa Tengah,Koalisi Pemerintah
312,Jawa Tengah II,Jamaludin Malik,Laki-Laki,Komisi XIII,Golkar,-,Jawa Tengah,Koalisi Pemerintah
391,Jawa Tengah II,Lestari Moerdijat,Perempuan,Komisi X,NasDem,Wakil Ketua MPR RI,Jawa Tengah,Oposisi
30,Jawa Tengah III,Marwan Jafar,Laki-Laki,Komisi I,PKB,-,Jawa Tengah,Oposisi
31,Jawa Tengah III,Eva Monalisa,Perempuan,Komisi VII,PKB,-,Jawa Tengah,Oposisi
109,Jawa Tengah III,Danang Wicaksana Sulistya,Laki-Laki,Komisi V,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
193,Jawa Tengah III,"Haryanto S.H., M.M., M.Si.",Laki-Laki,Komisi V,PDI-P,-,Jawa Tengah,Oposisi
194,Jawa Tengah III,"Dr. Evita Nursanty S.H., M.Sc.",Perempuan,Komisi VII,PDI-P,Wakil Ketua Komisi VII DPR RI,Jawa Tengah,Oposisi
195,Jawa Tengah III,"Dr. H. Edy Wuryanto S.Kp., M.Kep.",Laki-Laki,Komisi IX,PDI-P,-,Jawa Tengah,Oposisi
313,Jawa Tengah III,Firman Soebagyo,Laki-Laki,Komisi IV,Golkar,-,Jawa Tengah,Koalisi Pemerintah
392,Jawa Tengah III,"Hj. Sri Wulan S.E., M.M.",Perempuan,Komisi VIII,NasDem,-,Jawa Tengah,Oposisi
555,Jawa Tengah III,"Harmusa Oktaviani S.E., M.H.",Perempuan,Komisi V,Demokrat,-,Jawa Tengah,Koalisi Pemerintah
110,Jawa Tengah IV,Ir. Sriyanto Saputro M.M.,Laki-Laki,Komisi V,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
196,Jawa Tengah IV,Ir. Bambang Wuryanto M.B.A.,Laki-Laki,Komisi XII,PDI-P,Wakil Ketua MPR RI,Jawa Tengah,Oposisi
197,Jawa Tengah IV,Dolfie O. F. P. S.T.,Laki-Laki,Komisi XI,PDI-P,Wakil Ketua Komisi XI DPR RI,Jawa Tengah,Oposisi
198,Jawa Tengah IV,Diah Pikatan O. Putri Haprani,Perempuan,Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
314,Jawa Tengah IV,"Drs. Juliyatmono M.M., M.H.",Laki-Laki,Komisi X,Golkar,-,Jawa Tengah,Koalisi Pemerintah
465,Jawa Tengah IV,Drs. Hamid Noor Yasin M.M.,Laki-Laki,Komisi XIII,PKS,-,Jawa Tengah,Oposisi
556,Jawa Tengah IV,"Rinto Subekti S.E., M.M.",Laki-Laki,Komisi XIII,Demokrat,Wakil Ketua Komisi XIII DPR RI,Jawa Tengah,Koalisi Pemerintah
32,Jawa Tengah V,H. Mohamad Toha M.Si.,Laki-Laki,Komisi II,PKB,-,Jawa Tengah,Oposisi
111,Jawa Tengah V,Adik Sasongko,Laki-Laki,Komisi XIII,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
199,Jawa Tengah V,Puan Maharani,Perempuan,Komisi I,PDI-P,Ketua DPR-RI,Jawa Tengah,Oposisi
200,Jawa Tengah V,Aria Bima,Laki-Laki,Komisi II,PDI-P,Wakil Ketua Komisi II DPR RI,Jawa Tengah,Oposisi
201,Jawa Tengah V,"H. Didik Haryadi S.T., S.H.",Laki-Laki,Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
315,Jawa Tengah V,"H. Singgih Januratmoko S.K.H., M.M.",Laki-Laki,Komisi VIII,Golkar,Wakil Ketua Komisi VIII DPR RI,Jawa Tengah,Koalisi Pemerintah
466,Jawa Tengah V,"Dr. H. Abdul Kharis Almasyhari S.E., M.Si.",Laki-Laki,Komisi IV,PKS,Wakil Ketua Komisi IV DPR RI,Jawa Tengah,Oposisi
510,Jawa Tengah V,Muhammad Hatta,Laki-Laki,Komisi VII,PAN,-,Jawa Tengah,Koalisi Pemerintah
33,Jawa Tengah VI,Abdullah,Laki-Laki,Komisi III,PKB,-,Jawa Tengah,Oposisi
112,Jawa Tengah VI,Azis Subekti M.T.,Laki-Laki,Komisi II,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
202,Jawa Tengah VI,"Vita Ervina S.E., M.B.A.",Perempuan,Komisi XIII,PDI-P,-,Jawa Tengah,Oposisi
203,Jawa Tengah VI,Sofwan Dedy Ardyanto,Laki-Laki,Komisi V,PDI-P,-,Jawa Tengah,Oposisi
316,Jawa Tengah VI,Ir. Panggah Susanto M.M.,Laki-Laki,Komisi IV,Golkar,Wakil Ketua Komisi IV DPR RI,Jawa Tengah,Koalisi Pemerintah
393,Jawa Tengah VI,Nafa Urbach,Perempuan,Komisi IX,NasDem,-,Jawa Tengah,Oposisi
557,Jawa Tengah VI,Bramantyo Suwondo M.,Laki-Laki,Komisi X,Demokrat,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI,Jawa Tengah,Koalisi Pemerintah
34,Jawa Tengah VII,Drs. H. Taufiq R. Abdullah,Laki-Laki,Komisi I,PKB,Wakil Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Tengah,Oposisi
113,Jawa Tengah VII,"Ir. KRT. H. Darori Wonodipuro M.M., IPU.",Laki-Laki,Komisi IV,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
204,Jawa Tengah VII,Drs. Utut Adianto,Laki-Laki,Komisi I,PDI-P,Ketua Komisi I DPR RI,Jawa Tengah,Oposisi
317,Jawa Tengah VII,Dr. Bambang Soesatyo S.E.,Laki-Laki,Komisi III,Golkar,-,Jawa Tengah,Koalisi Pemerintah
394,Jawa Tengah VII,Amelia Anggraini,Perempuan,Komisi I,NasDem,-,Jawa Tengah,Oposisi
467,Jawa Tengah VII,Rofik Hananto S.E.,Laki-Laki,Komisi VII,PKS,-,Jawa Tengah,Oposisi
511,Jawa Tengah VII,Aqib Ardiansyah M.Si.,Laki-Laki,Komisi XII,PAN,-,Jawa Tengah,Koalisi Pemerintah
35,Jawa Tengah VIII,"Siti Mukaromah S.Ag., M.A.P.",Perempuan,Komisi VII,PKB,-,Jawa Tengah,Oposisi
114,Jawa Tengah VIII,"Hj. Novita Wijayanti S.M., M.M.",Perempuan,Komisi V,Gerindra,Wakil Ketua Badan Urusan Rumah Tangga DPR RI,Jawa Tengah,Koalisi Pemerintah
205,Jawa Tengah VIII,Kaisar Kiasa Kasih Said Putra,Perempuan,Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
206,Jawa Tengah VIII,Adisatrya Suryo Sulisto,Laki-Laki,Komisi VI,PDI-P,Wakil Ketua Komisi VI DPR RI,Jawa Tengah,Oposisi
318,Jawa Tengah VIII,Teti Rohatiningsih S.Sos.,Laki-Laki,Komisi IX,Golkar,-,Jawa Tengah,Koalisi Pemerintah
395,Jawa Tengah VIII,Sugeng Suparwoto,Perempuan,Komisi XII,NasDem,Wakil Ketua Komisi XII DPR RI,Jawa Tengah,Oposisi
468,Jawa Tengah VIII,H. Yanuar Arif Wibowo S.H.,Laki-Laki,Komisi V,PKS,-,Jawa Tengah,Oposisi
558,Jawa Tengah VIII,H. Wastam S.E.,Laki-Laki,Komisi V,Demokrat,-,Jawa Tengah,Koalisi Pemerintah
36,Jawa Tengah IX,Eka Widodo,Laki-Laki,Komisi II,PKB,-,Jawa Tengah,Oposisi
115,Jawa Tengah IX,"Mohamad Hekal B.Sc., M.B.A.",Laki-Laki,Komisi XI,Gerindra,Wakil Ketua Komisi XI DPR RI,Jawa Tengah,Koalisi Pemerintah
207,Jawa Tengah IX,Shanty Alda Nathalia S.H.,Perempuan,Komisi XII,PDI-P,-,Jawa Tengah,Oposisi
208,Jawa Tengah IX,"Dr. Harris Turino S.T., S.H., M.Si., M.M.",Laki-Laki,Komisi XI,PDI-P,-,Jawa Tengah,Oposisi
209,Jawa Tengah IX,"Hj. Shintya Sandra Kusuma S.Hub.Int., M.A.B.",Perempuan,Komisi II,PDI-P,-,Jawa Tengah,Oposisi
319,Jawa Tengah IX,"Agung Widyantoro S.H., M.Si.",Laki-Laki,Komisi X,Golkar,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI,Jawa Tengah,Koalisi Pemerintah
469,Jawa Tengah IX,Dr. H. Abdul Fikri Faqih M.M.,Laki-Laki,Komisi VIII,PKS,-,Jawa Tengah,Oposisi
512,Jawa Tengah IX,Wahyudin Noor Aly alias Goyud,Laki-Laki,Komisi II,PAN,-,Jawa Tengah,Koalisi Pemerintah
37,Jawa Tengah X,M. Hanif Dhakiri,Laki-Laki,Komisi XI,PKB,Wakil Ketua Komisi XI DPR RI,Jawa Tengah,Oposisi
116,Jawa Tengah X,Dr. Ramson Siagian,Laki-Laki,Komisi XII,Gerindra,-,Jawa Tengah,Koalisi Pemerintah
210,Jawa Tengah X,Dede Indra Permana Soediro S.H.,Laki-Laki,Komisi III,PDI-P,Wakil Ketua Komisi III DPR RI,Jawa Tengah,Oposisi
320,Jawa Tengah X,Ashraff Abu,Laki-Laki,Komisi IX,Golkar,-,Jawa Tengah,Koalisi Pemerintah
321,Jawa Tengah X,"Doni Akbar S.E., M.M.",Laki-Laki,Komisi VI,Golkar,-,Jawa Tengah,Koalisi Pemerintah
396,Jawa Tengah X,Yoyok Riyo Sudibyo,Laki-Laki,Komisi I,NasDem,-,Jawa Tengah,Oposisi
470,Jawa Tengah X,Rizal Bawazier,Laki-Laki,Komisi VI,PKS,-,Jawa Tengah,Oposisi
38,Daerah Istimewa Yogyakarta,Kaisar Abu Hanifah,Laki-Laki,Komisi VII,PKB,-,Daerah Istimewa Yogyakarta,Oposisi
117,Daerah Istimewa Yogyakarta,Siti Hediati Soeharto S.E.,Perempuan,Komisi IV,Gerindra,Ketua Komisi IV DPR RI,Daerah Istimewa Yogyakarta,Koalisi Pemerintah
211,Daerah Istimewa Yogyakarta,M. Y. Esti Wijayati,Perempuan,Komisi X,PDI-P,Wakil Ketua Komisi X DPR RI,Daerah Istimewa Yogyakarta,Oposisi
212,Daerah Istimewa Yogyakarta,G. M. Totok Hedi Santosa,Laki-Laki,Komisi VI,PDI-P,-,Daerah Istimewa Yogyakarta,Oposisi
322,Daerah Istimewa Yogyakarta,Drs. Gandung Pardiman M.M.,Laki-Laki,Komisi XII,Golkar,-,Daerah Istimewa Yogyakarta,Koalisi Pemerintah
397,Daerah Istimewa Yogyakarta,"H. Subardi S.H., M.H.",Laki-Laki,Komisi VI,NasDem,-,Daerah Istimewa Yogyakarta,Oposisi
471,Daerah Istimewa Yogyakarta,Dr. H. Sukamta,Laki-Laki,Komisi I,PKS,-,Daerah Istimewa Yogyakarta,Oposisi
513,Daerah Istimewa Yogyakarta,H. Totok Daryanto S.E.,Laki-Laki,Komisi XII,PAN,-,Daerah Istimewa Yogyakarta,Koalisi Pemerintah
39,Jawa Timur I,"Dr. Hj. Arzeti Bilbina Setyawan S.E., M.AP.",Perempuan,Komisi IX,PKB,-,Jawa Timur,Oposisi
118,Jawa Timur I,Ir. H. Bambang Haryo Soekartono,Laki-Laki,Komisi VII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
119,Jawa Timur I,Dhani Ahmad Prasetyo S.H.,Laki-Laki,Komisi X,Gerindra,-,Jawa Timur,Koalisi Pemerintah
213,Jawa Timur I,Puti Guntur Soekarno S.I.P.,Perempuan,Komisi X,PDI-P,-,Jawa Timur,Oposisi
214,Jawa Timur I,"Indah Kurnia S.E., M.M.",Perempuan,Komisi IX,PDI-P,Wakil Ketua Badan Urusan Rumah Tangga DPR RI,Jawa Timur,Oposisi
323,Jawa Timur I,"Dr. Ir. H. Adies Kadir S.H., M.Hum.",Laki-Laki,Komisi III,Golkar,Wakil Ketua DPR-RI,Jawa Timur,Koalisi Pemerintah
398,Jawa Timur I,Lita Machfud Arifin,Perempuan,Komisi X,NasDem,-,Jawa Timur,Oposisi
472,Jawa Timur I,"Reni Astuti S.Si., M.PSDM.",Perempuan,Komisi V,PKS,-,Jawa Timur,Oposisi
514,Jawa Timur I,"Arizal Tom Liwafa S.T., M.M.",Laki-Laki,Komisi VII,PAN,-,Jawa Timur,Koalisi Pemerintah
559,Jawa Timur I,Dra. Lucy Kurniasari,Perempuan,Komisi IX,Demokrat,-,Jawa Timur,Koalisi Pemerintah
40,Jawa Timur II,Dra. Hj. Anisah Syakur M.Ag.,Perempuan,Komisi VI,PKB,-,Jawa Timur,Oposisi
41,Jawa Timur II,"Muhammad Hilman Mufidi S.E., S.H.",Laki-Laki,Komisi X,PKB,-,Jawa Timur,Oposisi
120,Jawa Timur II,Dr. H. Anwar Sadad M.Ag.,Laki-Laki,Komisi XIII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
215,Jawa Timur II,dr. H. Mufti A.N. Anam M.I.Kom.,Laki-Laki,Komisi VI,PDI-P,-,Jawa Timur,Oposisi
324,Jawa Timur II,"Dr. H. Mukhamad Misbakhun S.E., M.H.",Laki-Laki,Komisi XI,Golkar,Ketua Komisi XI DPR RI,Jawa Timur,Koalisi Pemerintah
399,Jawa Timur II,"Hj. Dini Rahmania S.A.P., M.M.",Perempuan,Komisi VIII,NasDem,-,Jawa Timur,Oposisi
515,Jawa Timur II,H. Syaiful Nuri,Laki-Laki,Komisi VIII,PAN,-,Jawa Timur,Koalisi Pemerintah
42,Jawa Timur III,"Dr. Hj. Nihayatul Wafiroh S.Ag., M.A.",Perempuan,Komisi IX,PKB,Wakil Ketua Komisi IX DPR RI,Jawa Timur,Oposisi
43,Jawa Timur III,Ir. H. M. Nasim Khan,Laki-Laki,Komisi VI,PKB,-,Jawa Timur,Oposisi
121,Jawa Timur III,Ir. H. Sumail Abdullah M.T.,Laki-Laki,Komisi I,Gerindra,-,Jawa Timur,Koalisi Pemerintah
216,Jawa Timur III,"Sonny Tri Danaparamita S.H., M.H.",Laki-Laki,Komisi IV,PDI-P,-,Jawa Timur,Oposisi
217,Jawa Timur III,Ina Ammania,Perempuan,Komisi VIII,PDI-P,-,Jawa Timur,Oposisi
325,Jawa Timur III,"Zulfikar Arse Sadikin S.I.P., M.Si.",Laki-Laki,Komisi II,Golkar,Wakil Ketua Komisi II DPR RI,Jawa Timur,Koalisi Pemerintah
560,Jawa Timur III,"Dina Lorenza Audria S.I.P., M.I.P.",Perempuan,Komisi VII,Demokrat,-,Jawa Timur,Koalisi Pemerintah
44,Jawa Timur IV,H. Rivqy Abdul Halim S.E.,Laki-Laki,Komisi VI,PKB,-,Jawa Timur,Oposisi
45,Jawa Timur IV,H. Muhammad Khozin M.A.P.,Laki-Laki,Komisi II,PKB,-,Jawa Timur,Oposisi
122,Jawa Timur IV,Bambang Haryadi S.E.,Laki-Laki,Komisi XII,Gerindra,Wakil Ketua Komisi XII DPR RI,Jawa Timur,Koalisi Pemerintah
123,Jawa Timur IV,"Kawendra Lukistian S.E., M.Sn.",Laki-Laki,Komisi VI,Gerindra,-,Jawa Timur,Koalisi Pemerintah
218,Jawa Timur IV,Arif Wibowo,Laki-Laki,Komisi II,PDI-P,-,Jawa Timur,Oposisi
326,Jawa Timur IV,H. Muhamad Nur Purnamasidi S.Sos.,Laki-Laki,Komisi X,Golkar,-,Jawa Timur,Koalisi Pemerintah
400,Jawa Timur IV,"H. Charles Meikyansah S.Sos., M.I.Kom.",Laki-Laki,Komisi XI,NasDem,-,Jawa Timur,Oposisi
473,Jawa Timur IV,"Amin Ak., M.M.",Laki-Laki,Komisi VI,PKS,-,Jawa Timur,Oposisi
46,Jawa Timur V,"Hassanudin Wahid S.Ag., M.Hum.",Laki-Laki,Komisi XI,PKB,-,Jawa Timur,Oposisi
47,Jawa Timur V,H. Ali Ahmad S.H.,Laki-Laki,Komisi II,PKB,-,Jawa Timur,Oposisi
124,Jawa Timur V,Moreno Soeprapto S.Sos.,Laki-Laki,Komisi XII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
125,Jawa Timur V,H. Ma'ruf Mubarok S.H.,Laki-Laki,Komisi VII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
219,Jawa Timur V,"Dr. Ahmad Basarah S.H., M.H.",Laki-Laki,Komisi XIII,PDI-P,-,Jawa Timur,Oposisi
220,Jawa Timur V,Ir. Andreas Eddy Susetyo M.M.,Laki-Laki,Komisi XI,PDI-P,Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Jawa Timur,Oposisi
327,Jawa Timur V,Ahmad Irawan,Laki-Laki,Komisi II,Golkar,-,Jawa Timur,Koalisi Pemerintah
474,Jawa Timur V,dr. Gamal M.Biomed.,Laki-Laki,Komisi X,PKS,-,Jawa Timur,Oposisi
48,Jawa Timur VI,Dr. Hj. Anggia Erma Rini M.K.M.,Perempuan,Komisi VI,PKB,Ketua Komisi VI DPR RI,Jawa Timur,Oposisi
49,Jawa Timur VI,H. An'im Falachuddin,Laki-Laki,Komisi VIII,PKB,-,Jawa Timur,Oposisi
126,Jawa Timur VI,Ir. Endro Hermono M.B.A.,Laki-Laki,Komisi VIII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
221,Jawa Timur VI,Pulung Agustanto,Laki-Laki,Komisi III,PDI-P,-,Jawa Timur,Oposisi
222,Jawa Timur VI,Romy Soekarno,Laki-Laki,Komisi II,PDI-P,-,Jawa Timur,Oposisi
328,Jawa Timur VI,"M. Sarmuji S.E., M.S.",Laki-Laki,Komisi VI,Golkar,-,Jawa Timur,Koalisi Pemerintah
329,Jawa Timur VI,Dr. Ir. Heru Tjahjono M.M.,Laki-Laki,Komisi IX,Golkar,-,Jawa Timur,Koalisi Pemerintah
401,Jawa Timur VI,Nurhadi,Laki-Laki,Komisi IX,NasDem,-,Jawa Timur,Oposisi
516,Jawa Timur VI,Ir. Ahmad Riski Sadig M.Si.,Laki-Laki,Komisi XI,PAN,-,Jawa Timur,Koalisi Pemerintah
50,Jawa Timur VII,"H. Ahmad Iman Sukri S.H., M.Hum.",Laki-Laki,Komisi XIII,PKB,Wakil Ketua Badan Legislasi DPR RI,Jawa Timur,Oposisi
127,Jawa Timur VII,Drs. Supriyanto,Laki-Laki,Komisi V,Gerindra,-,Jawa Timur,Koalisi Pemerintah
223,Jawa Timur VII,"Hj. Novita Hardini S.E., M.E.",Perempuan,Komisi VII,PDI-P,-,Jawa Timur,Oposisi
224,Jawa Timur VII,Ir. Budi Sulistyono alias Kanang,Laki-Laki,Komisi VI,PDI-P,-,Jawa Timur,Oposisi
330,Jawa Timur VII,"Dr. Ali Mufthi S.Ag., M.Si.",Laki-Laki,Komisi V,Golkar,-,Jawa Timur,Koalisi Pemerintah
475,Jawa Timur VII,"Riyono S.Kel., M.Si.",Laki-Laki,Komisi IV,PKS,-,Jawa Timur,Oposisi
561,Jawa Timur VII,"Dr. H. Edhie Baskoro Yudhoyono B.Com., M.Sc.",Laki-Laki,Komisi XII,Demokrat,Wakil Ketua MPR RI,Jawa Timur,Koalisi Pemerintah
562,Jawa Timur VII,"Sartono S.E., M.M.",Laki-Laki,Komisi VI,Demokrat,-,Jawa Timur,Koalisi Pemerintah
51,Jawa Timur VIII,Rusdi Kirana S.E.,Laki-Laki,Komisi III,PKB,Wakil Ketua MPR RI,Jawa Timur,Oposisi
52,Jawa Timur VIII,Dr. (H.C.) Drs. H. A. Halim Iskandar M.Pd.,Laki-Laki,Komisi I,PKB,-,Jawa Timur,Oposisi
128,Jawa Timur VIII,Bimantoro Wiyono S.H.,Laki-Laki,Komisi VIII,Gerindra,-,Jawa Timur,Koalisi Pemerintah
225,Jawa Timur VIII,"Hj. Sadarestuwati S.P., M.M.A.",Perempuan,Komisi VI,PDI-P,-,Jawa Timur,Oposisi
