No. Anggota,Daerah pemilihan,Nama,Komisi,Fraksi,Jabatan,Provinsi,Koalisi
372,Sumatera Barat I,"Ir. M. Shadiq Pasadigoe S.H., M.M.",Komisi XIII,NasDem,-,Sumatera Barat,Oposisi
439,Sumatera Barat I,H. Rahmat Saleh S.Farm.,Komisi II,PKS,-,Sumatera Barat,Oposisi
491,Sumatera Barat I,Athari Ghauthi Ardi S.H.,Komisi V,PAN,-,Sumatera Barat,Koalisi Pemerintah
75,Sumatera Barat II,"Ade Rezki Pratama S.E., M.M.",Komisi IX,Gerindra,-,Sumatera Barat,Koalisi Pemerintah
276,Sumatera Barat II,"H. Benny Utama S.H., M.M.",Komisi III,Golkar,-,Sumatera Barat,Koalisi Pemerintah
373,Sumatera Barat II,Cindy Monica Salsabila Setiawan S.M.,Komisi IV,NasDem,-,Sumatera Barat,Oposisi
440,Sumatera Barat II,Nevi Zuairina,Komisi XII,PKS,-,Sumatera Barat,Oposisi
492,Sumatera Barat II,H. Arisal Aziz,Komisi XIII,PAN,-,Sumatera Barat,Koalisi Pemerintah
540,Sumatera Barat II,Ir. H. Mulyadi,Komisi XII,Demokrat,-,Sumatera Barat,Koalisi Pemerintah
6,Riau I,Iyeth Bustami,Komisi XII,PKB,-,Riau,Oposisi
76,Riau I,Muhammad Rahul S.H.,Komisi III,Gerindra,-,Riau,Koalisi Pemerintah
163,Riau I,Hj. Dewi Juliani S.H.,Komisi III,PDI-P,-,Riau,Oposisi
277,Riau I,dr. Maharani M.M.,Komisi IX,Golkar,-,Riau,Koalisi Pemerintah
278,Riau I,"Dr. Hj. Karmila Sari S.Kom, M.M.",Komisi X,Golkar,-,Riau,Koalisi Pemerintah
441,Riau I,H. Hendry Munief M.B.A.,Komisi VII,PKS,-,Riau,Oposisi
541,Riau I,Dr. H. Achmad M.Si.,Komisi VIII,Demokrat,-,Riau,Koalisi Pemerintah
7,Riau II,H. Mafirion,Komisi XIII,PKB,-,Riau,Oposisi
77,Riau II,Muhammad Rohid,Komisi XII,Gerindra,-,Riau,Koalisi Pemerintah
164,Riau II,Hj. Siti Aisyah,Komisi XIII,PDI-P,-,Riau,Oposisi
279,Riau II,"Yulisman S.Si., M.M.",Komisi III,Golkar,-,Riau,Koalisi Pemerintah
442,Riau II,"Dr. Syahrul Aidi Maazat Lc., M.A.",Komisi V,PKS,-,Riau,Oposisi
493,Riau II,Ir. H. Sahidin,Komisi II,PAN,-,Riau,Koalisi Pemerintah
8,Jambi,Elpisina,Komisi XIII,PKB,-,Jambi,Oposisi
78,Jambi,Rocky Candra,Komisi XII,Gerindra,-,Jambi,Koalisi Pemerintah
165,Jambi,Edi Purwanto M.Si.,Komisi V,PDI-P,-,Jambi,Oposisi
280,Jambi,Drs. H. Cek Endra,Komisi XII,Golkar,-,Jambi,Koalisi Pemerintah
281,Jambi,H. Hasan Basri Agus,Komisi VIII,Golkar,-,Jambi,Koalisi Pemerintah
374,Jambi,"Dr. H. Syarif Fasha S.E., M.E.",Komisi XII,NasDem,-,Jambi,Oposisi
494,Jambi,H. A. Bakri H. M. S.E.,Komisi V,PAN,-,Jambi,Koalisi Pemerintah
542,Jambi,H. Zulfikar Achmad,Komisi IX,Demokrat,-,Jambi,Koalisi Pemerintah
9,Sumatera Selatan I,H. S. N. Prana Putra Sohe,Komisi XIII,PKB,-,Sumatera Selatan,Oposisi
79,Sumatera Selatan I,"Hj. Kartika Sandra Desi S.H., M.M.",Komisi IV,Gerindra,-,Sumatera Selatan,Koalisi Pemerintah
166,Sumatera Selatan I,"Yulian Gunhar S.H., M.H.",Komisi XII,PDI-P,-,Sumatera Selatan,Oposisi
282,Sumatera Selatan I,Drs. H. Kahar Muzakir,Komisi XI,Golkar,Wakil Ketua MPR RI,Sumatera Selatan,Koalisi Pemerintah
283,Sumatera Selatan I,Yudha Novanza Utama,Komisi I,Golkar,-,Sumatera Selatan,Koalisi Pemerintah
375,Sumatera Selatan I,Fauzi H. Amro,Komisi XI,NasDem,Wakil Ketua Komisi XI DPR RI,Sumatera Selatan,Oposisi
443,Sumatera Selatan I,Drs. H. Mohd. Iqbal Romzi,Komisi X,PKS,-,Sumatera Selatan,Oposisi
543,Sumatera Selatan I,Ir. H. Ishak Mekki M.M.,Komisi V,Demokrat,-,Sumatera Selatan,Koalisi Pemerintah
10,Sumatera Selatan II,Bertu Merlas S.T.,Komisi XI,PKB,-,Sumatera Selatan,Oposisi
80,Sumatera Selatan II,"Ahmad Wazir Noviadi S.Psi., M.Si.",Komisi II,Gerindra,-,Sumatera Selatan,Koalisi Pemerintah
81,Sumatera Selatan II,Ir. Hj. Sri Meliyana,Komisi IX,Gerindra,-,Sumatera Selatan,Koalisi Pemerintah
167,Sumatera Selatan II,"H. M. Giri Ramanda N. Kiemas S.E., M.M.",Komisi II,PDI-P,-,Sumatera Selatan,Oposisi
284,Sumatera Selatan II,"Dewi Yustisiana S.H., M.Kn.",Komisi XII,Golkar,-,Sumatera Selatan,Koalisi Pemerintah
376,Sumatera Selatan II,"Irma Suryani S.E., M.M.",Komisi IX,NasDem,-,Sumatera Selatan,Oposisi
444,Sumatera Selatan II,H. Askweni S.Pd.,Komisi VIII,PKS,-,Sumatera Selatan,Oposisi
495,Sumatera Selatan II,H. Iskandar S.E.,Komisi VI,PAN,-,Sumatera Selatan,Koalisi Pemerintah
544,Sumatera Selatan II,"Wahyu Sanjaya S.E., M.M.",Komisi XI,Demokrat,-,Sumatera Selatan,Koalisi Pemerintah
168,Bengkulu,Eko Kurnia Ningsih,Komisi IX,PDI-P,-,Bengkulu,Oposisi
285,Bengkulu,Hj. Derta Rohidin,Komisi VIII,Golkar,-,Bengkulu,Koalisi Pemerintah
377,Bengkulu,Erna Sari Dewi S.E.,Komisi VII,NasDem,-,Bengkulu,Oposisi
496,Bengkulu,Hj. Dewi Coryati M.Si.,Komisi X,PAN,-,Bengkulu,Koalisi Pemerintah
11,Lampung I,"Dr. H. Muhammad Kadafi S.H., M.H.",Komisi X,PKB,-,Lampung,Oposisi
82,Lampung I,H. Ahmad Muzani,Komisi I,Gerindra,Ketua MPR RI,Lampung,Koalisi Pemerintah
83,Lampung I,"Ruby Chairani Syiffadia B.A. (Hons), M.Sc.",Komisi X,Gerindra,-,Lampung,Koalisi Pemerintah
169,Lampung I,Drs. Mukhlis Basri,Komisi V,PDI-P,-,Lampung,Oposisi
170,Lampung I,Sudin S.E.,Komisi III,PDI-P,-,Lampung,Oposisi
286,Lampung I,Rycko Menoza M.B.A.,Komisi VII,Golkar,-,Lampung,Koalisi Pemerintah
378,Lampung I,"Rahmawati Herdian S.H., M.Kn.",Komisi IX,NasDem,-,Lampung,Oposisi
445,Lampung I,Dr. Al Muzzammil Yusuf M.Si.,Komisi XIII,PKS,-,Lampung,Oposisi
497,Lampung I,Putri Zulkifli Hasan,Komisi XII,PAN,Wakil Ketua Komisi XII DPR RI,Lampung,Koalisi Pemerintah
545,Lampung I,H. Zulkifli Anwar,Komisi II,Demokrat,-,Lampung,Koalisi Pemerintah
12,Lampung II,Hj. Chusnunia M.Si.,Komisi VII,PKB,Wakil Ketua Komisi VII DPR RI,Lampung,Oposisi
84,Lampung II,Ir. Dwita Ria Gunadi,Komisi IV,Gerindra,-,Lampung,Koalisi Pemerintah
85,Lampung II,"Dr. Bob Hasan S.H., M.H.",Komisi III,Gerindra,Ketua Badan Legislasi DPR RI,Lampung,Koalisi Pemerintah
171,Lampung II,drh. I Ketut Suwendra M.M.,Komisi IV,PDI-P,-,Lampung,Oposisi
287,Lampung II,Ir. Hanan A. Rozak M.S.,Komisi IV,Golkar,-,Lampung,Koalisi Pemerintah
288,Lampung II,H. Aprozi Alam S.E.,Komisi VIII,Golkar,-,Lampung,Koalisi Pemerintah
379,Lampung II,Tamanuri,Komisi V,NasDem,-,Lampung,Oposisi
446,Lampung II,Dr. Ir. H. A. Junaidi Auly M.M.,Komisi XI,PKS,-,Lampung,Oposisi
498,Lampung II,"Irham Jafar Lan Putra S.Hut., M.H.",Komisi IV,PAN,-,Lampung,Koalisi Pemerintah
546,Lampung II,Marwan Cik Asan,Komisi XI,Demokrat,-,Lampung,Koalisi Pemerintah
86,Kepulauan Bangka Belitung,Hj. Melati S.H.,Komisi XIII,Gerindra,-,Kepulauan Bangka Belitung,Koalisi Pemerintah
172,Kepulauan Bangka Belitung,Ir. Rudianto Tjen,Komisi I,PDI-P,-,Kepulauan Bangka Belitung,Oposisi
289,Kepulauan Bangka Belitung,"Bambang Patijaya S.E., M.M.",Komisi XII,Golkar,Ketua Komisi XII DPR RI,Kepulauan Bangka Belitung,Koalisi Pemerintah
87,Kepulauan Riau,Ir. H. M. Endipat Wijaya M.M.,Komisi I,Gerindra,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Kepulauan Riau,Koalisi Pemerintah
173,Kepulauan Riau,Mayjen. TNI (Purn.) Sturman Panjaitan S.H.,Komisi IV,PDI-P,Wakil Ketua Badan Legislasi DPR RI,Kepulauan Riau,Oposisi
290,Kepulauan Riau,Rizki Faisal,Komisi VI,Golkar,-,Kepulauan Riau,Koalisi Pemerintah
380,Kepulauan Riau,Randi Zulmariadi S.M.,Komisi VI,NasDem,-,Kepulauan Riau,Oposisi
13,DKI Jakarta I,H. Hasbiallah Ilyas,Komisi III,PKB,-,DKI Jakarta,Oposisi
88,DKI Jakarta I,"Dr. Habiburokhman S.H., M.H.",Komisi III,Gerindra,Ketua Komisi III DPR RI,DKI Jakarta,Koalisi Pemerintah
174,DKI Jakarta I,Putra Nababan,Komisi VII,PDI-P,-,DKI Jakarta,Oposisi
447,DKI Jakarta I,Dr. H. Mardani Ali Sera M.Eng.,Komisi II,PKS,Ketua Badan Kerjasama Antar Parlemen DPR RI,DKI Jakarta,Oposisi
448,DKI Jakarta I,Dr. Hj. Anis Byarwati,Komisi XI,PKS,-,DKI Jakarta,Oposisi
499,DKI Jakarta I,H. Eko Hendro Purnomo S.Sos.,Komisi VI,PAN,Wakil Ketua Komisi VI DPR RI,DKI Jakarta,Koalisi Pemerintah
14,DKI Jakarta II,Dr. Hj. Ida Fauziyah M.Si.,Komisi VI,PKB,-,DKI Jakarta,Oposisi
89,DKI Jakarta II,"Hj. Himmatul Aliyah S.Sos., M.Si.",Komisi X,Gerindra,Wakil Ketua Komisi X DPR RI,DKI Jakarta,Koalisi Pemerintah
175,DKI Jakarta II,Once Mekel S.H.,Komisi X,PDI-P,-,DKI Jakarta,Oposisi
291,DKI Jakarta II,"Abraham Sridjaja S.H., M.H., C.L.A.",Komisi I,Golkar,-,DKI Jakarta,Koalisi Pemerintah
449,DKI Jakarta II,Dr. H. M. Hidayat Nur Wahid M.A.,Komisi VIII,PKS,Wakil Ketua MPR RI,DKI Jakarta,Oposisi
450,DKI Jakarta II,Dr. Hj. Kurniasih Mufidayati M.Si.,Komisi IX,PKS,-,DKI Jakarta,Oposisi
500,DKI Jakarta II,Surya Utama S.I.P.,Komisi IX,PAN,-,DKI Jakarta,Koalisi Pemerintah
90,DKI Jakarta III,Rahayu Saraswati D. Djojohadikusumo,Komisi VII,Gerindra,Wakil Ketua Komisi VII DPR RI,DKI Jakarta,Koalisi Pemerintah
176,DKI Jakarta III,Charles Honoris,Komisi IX,PDI-P,Wakil Ketua Komisi IX DPR RI,DKI Jakarta,Oposisi
177,DKI Jakarta III,Prof. Asc. Dr. Darmadi Durianto,Komisi VI,PDI-P,-,DKI Jakarta,Oposisi
292,DKI Jakarta III,Erwin Aksa,Komisi XI,Golkar,-,DKI Jakarta,Koalisi Pemerintah
381,DKI Jakarta III,"Ahmad Sahroni S.E., M.I.Kom.",Komisi III,NasDem,Wakil Ketua Komisi III DPR RI,DKI Jakarta,Oposisi
451,DKI Jakarta III,Drs. H. Adang Daradjatun,Komisi III,PKS,-,DKI Jakarta,Oposisi
501,DKI Jakarta III,"Sigit Purnomo S.A.P., S.H.",Komisi VIII,PAN,-,DKI Jakarta,Koalisi Pemerintah
547,DKI Jakarta III,Nurwayah S.Pd.,Komisi XII,Demokrat,-,DKI Jakarta,Koalisi Pemerintah
15,Jawa Barat I,Habib Syarief Muhammad,Komisi X,PKB,-,Jawa Barat,Oposisi
91,Jawa Barat I,Melly Goeslaw,Komisi X,Gerindra,-,Jawa Barat,Koalisi Pemerintah
178,Jawa Barat I,Junico B. P. Siahaan S.E.,Komisi I,PDI-P,-,Jawa Barat,Oposisi
293,Jawa Barat I,"Dr. Hj. Atalia Praratya S.I.P., M.I.Kom.",Komisi VIII,Golkar,-,Jawa Barat,Koalisi Pemerintah
294,Jawa Barat I,Nurul Arifin M.Si.,Komisi I,Golkar,-,Jawa Barat,Koalisi Pemerintah
452,Jawa Barat I,"Hj. Ledia Hanifa A. S.Si., M.Psi.T.",Komisi X,PKS,-,Jawa Barat,Oposisi
548,Jawa Barat I,H. Fathi,Komisi XI,Demokrat,-,Jawa Barat,Koalisi Pemerintah
16,Jawa Barat II,H. Cucun Ahmad Syamsurijal,Komisi III,PKB,Wakil Ketua DPR-RI,Jawa Barat,Oposisi
17,Jawa Barat II,Asep Romy Romaya,Komisi IX,PKB,-,Jawa Barat,Oposisi
92,Jawa Barat II,Rachel Maryam Sayidina,Komisi I,Gerindra,-,Jawa Barat,Koalisi Pemerintah
179,Jawa Barat II,Denny Cagur S.Pd.,Komisi X,PDI-P,-,Jawa Barat,Oposisi
295,Jawa Barat II,Ir. H. Anang Susanto Suhendar M.Si.,Komisi XIII,Golkar,[Ket. 12][3],Jawa Barat,Koalisi Pemerintah
296,Jawa Barat II,"Dr. H. Dadang M. Naser S.H., M.I.Pol.",Komisi IV,Golkar,-,Jawa Barat,Koalisi Pemerintah
382,Jawa Barat II,Rajiv,Komisi IV,NasDem,-,Jawa Barat,Oposisi
453,Jawa Barat II,"Dr. H. Ahmad Heryawan Lc., M.Si.",Komisi I,PKS,Wakil Ketua Komisi I DPR RI,Jawa Barat,Oposisi
502,Jawa Barat II,"Ahmad Najib Qodratullah S.E., M.H.",Komisi XI,PAN,-,Jawa Barat,Koalisi Pemerintah
549,Jawa Barat II,"Dr. H. Dede Yusuf Macan Effendi S.T., M.I.Pol.",Komisi II,Demokrat,Wakil Ketua Komisi II DPR RI,Jawa Barat,Koalisi Pemerintah
18,Jawa Barat III,"Neng Eem Marhamah Zulfa Hiz S.Th.I., M.M.",Komisi XI,PKB,-,Jawa Barat,Oposisi
93,Jawa Barat III,Kamrussamad,Komisi XI,Gerindra,-,Jawa Barat,Koalisi Pemerintah
94,Jawa Barat III,"Dr. Ir. Hj. Endang Setyawati Thohari DESS., M.Sc.",Komisi IV,Gerindra,-,Jawa Barat,Koalisi Pemerintah
180,Jawa Barat III,H. Muhamad Abdul Aziz Sefudin,Komisi VIII,PDI-P,-,Jawa Barat,Oposisi
297,Jawa Barat III,Isfhan Taufik Munggaran,Komisi XIII,Golkar,-,Jawa Barat,Koalisi Pemerintah
298,Jawa Barat III,Ilham Permana,Komisi VII,Golkar,-,Jawa Barat,Koalisi Pemerintah
383,Jawa Barat III,Ananda Tohpati N. R.,Komisi IV,NasDem,-,Jawa Barat,Oposisi
454,Jawa Barat III,H. Ecky Awal Mucharam,Komisi XI,PKS,-,Jawa Barat,Oposisi
503,Jawa Barat III,H. Eddy Soeparno,Komisi XII,PAN,Wakil Ketua MPR RI,Jawa Barat,Koalisi Pemerintah
19,Jawa Barat IV,Zainul Munasichin,Komisi IX,PKB,-,Jawa Barat,Oposisi
95,Jawa Barat IV,Heri Gunawan,Komisi II,Gerindra,-,Jawa Barat,Koalisi Pemerintah
299,Jawa Barat IV,"Hj. Dewi Asmara S.H., M.H.",Komisi XIII,Golkar,Wakil Ketua Komisi XIII DPR RI,Jawa Barat,Koalisi Pemerintah
455,Jawa Barat IV,drh. Slamet,Komisi IV,PKS,-,Jawa Barat,Oposisi
504,Jawa Barat IV,"Dr. Hj. Desy Ratnasari S.Psi., M.Si., M.Psi.",Komisi I,PAN,Wakil Ketua Badan Urusan Rumah Tangga DPR RI,Jawa Barat,Koalisi Pemerintah
550,Jawa Barat IV,"Iman Adinugraha S.E., Akt.",Komisi VII,Demokrat,-,Jawa Barat,Koalisi Pemerintah
20,Jawa Barat V,Tommy Kurniawan,Komisi XI,PKB,-,Jawa Barat,Oposisi
96,Jawa Barat V,Drs. H. Mulyadi M.M.A.,Komisi I,Gerindra,[Ket. 16][2],Jawa Barat,Koalisi Pemerintah
97,Jawa Barat V,Hj. Marlyn Maisarah,Komisi V,Gerindra,-,Jawa Barat,Koalisi Pemerintah
181,Jawa Barat V,Adian Y. Y. Napitupulu S.H.,Komisi V,PDI-P,Wakil Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Barat,Oposisi
300,Jawa Barat V,Ravindra Airlangga M.S.,Komisi IX,Golkar,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI,Jawa Barat,Koalisi Pemerintah
384,Jawa Barat V,Asep Wahyuwijaya,Komisi VI,NasDem,-,Jawa Barat,Oposisi
456,Jawa Barat V,drh. H. Achmad Ru'yat M.Si.,Komisi IX,PKS,-,Jawa Barat,Oposisi
505,Jawa Barat V,"Primus Yustisio S.E., M.A.P.",Komisi XI,PAN,-,Jawa Barat,Koalisi Pemerintah
551,Jawa Barat V,H. Anton Sukartono Suratto M.Si.,Komisi I,Demokrat,Wakil Ketua Komisi I DPR RI,Jawa Barat,Koalisi Pemerintah
21,Jawa Barat VI,H. Sudjatmiko S.T.,Komisi V,PKB,-,Jawa Barat,Oposisi
98,Jawa Barat VI,Ir. H. Nuroji,Komisi IX,Gerindra,-,Jawa Barat,Koalisi Pemerintah
182,Jawa Barat VI,Sukur H. Nababan S.T.,Komisi IX,PDI-P,-,Jawa Barat,Oposisi
301,Jawa Barat VI,Ranny Fahd Arafiq,Komisi IX,Golkar,-,Jawa Barat,Koalisi Pemerintah
457,Jawa Barat VI,Mahfudz Abdurrahman S.Sos.,Komisi X,PKS,Wakil Ketua Komisi X DPR RI,Jawa Barat,Oposisi
458,Jawa Barat VI,"H. Muhammad Kholid S.E., M.Si.",Komisi XI,PKS,-,Jawa Barat,Oposisi
22,Jawa Barat VII,Syaiful Huda,Komisi V,PKB,Wakil Ketua Komisi V DPR RI,Jawa Barat,Oposisi
99,Jawa Barat VII,Dra. Hj. Wardatul Asriah,Komisi VIII,Gerindra,-,Jawa Barat,Koalisi Pemerintah
100,Jawa Barat VII,drg. Hj. Putih Sari M.Dsc.,Komisi IX,Gerindra,Wakil Ketua Komisi IX DPR RI,Jawa Barat,Koalisi Pemerintah
101,Jawa Barat VII,Obon Tabroni,Komisi IX,Gerindra,-,Jawa Barat,Koalisi Pemerintah
183,Jawa Barat VII,Dr. Rieke Diah Pitaloka,Komisi VI,PDI-P,-,Jawa Barat,Oposisi
302,Jawa Barat VII,Puteri Komarudin,Komisi XI,Golkar,-,Jawa Barat,Koalisi Pemerintah
385,Jawa Barat VII,Saan Mustopa,Komisi II,NasDem,Wakil Ketua DPR-RI,Jawa Barat,Oposisi
459,Jawa Barat VII,H. Jalal Abdul Nasir Ak.,Komisi XII,PKS,-,Jawa Barat,Oposisi
506,Jawa Barat VII,Verrell Bramasta,Komisi X,PAN,-,Jawa Barat,Koalisi Pemerintah
552,Jawa Barat VII,dr. Hj. Cellica Nurrachadiana M.H.Kes,Komisi IX,Demokrat,Wakil Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Barat,Koalisi Pemerintah
23,Jawa Barat VIII,H. Dedi Wahidi,Komisi X,PKB,-,Jawa Barat,Oposisi
102,Jawa Barat VIII,Kardaya Warnika,Komisi VII,Gerindra,-,Jawa Barat,Koalisi Pemerintah
184,Jawa Barat VIII,Prof. Dr. Ir. H. Rokhmin Dahuri M.S.,Komisi IV,PDI-P,-,Jawa Barat,Oposisi
185,Jawa Barat VIII,"Hj. Selly Andriany Gantina A.Md., S.T.",Komisi VIII,PDI-P,-,Jawa Barat,Oposisi
303,Jawa Barat VIII,H. Daniel Mutaqien Syafiuddin S.T.,Komisi V,Golkar,-,Jawa Barat,Koalisi Pemerintah
304,Jawa Barat VIII,Dave Akbarshah Firkarno M.E.,Komisi I,Golkar,Wakil Ketua Komisi I DPR RI,Jawa Barat,Koalisi Pemerintah
386,Jawa Barat VIII,"Satori S.Pd.I., M.M.",Komisi VIII,NasDem,-,Jawa Barat,Oposisi
460,Jawa Barat VIII,Dr. Hj. Netty Prasetiyani M.Si.,Komisi IX,PKS,Ketua Badan Aspirasi Masyarakat DPR RI,Jawa Barat,Oposisi
553,Jawa Barat VIII,Dr. Ir. H. E. Herman Khaeron M.Si.,Komisi VI,Demokrat,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI,Jawa Barat,Koalisi Pemerintah
24,Jawa Barat IX,K. H. Maman Imanul Haq M.M.,Komisi VIII,PKB,-,Jawa Barat,Oposisi
103,Jawa Barat IX,"Dr. H. Jefry Romdonny S.E., S.Sos., M.Si., M.M.",Komisi XI,Gerindra,-,Jawa Barat,Koalisi Pemerintah
186,Jawa Barat IX,"Dr. H. Hasanuddin S.E., M.M.",Komisi I,PDI-P,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI,Jawa Barat,Oposisi
305,Jawa Barat IX,"Elita Budiati S.K.M., M.Si.",Komisi I,Golkar,-,Jawa Barat,Koalisi Pemerintah
306,Jawa Barat IX,Galih Dimuntur Kartasasmita,Komisi XI,Golkar,-,Jawa Barat,Koalisi Pemerintah
