No. Anggota,Daerah pemilihan,Potret,Nama,Komisi,Fraksi,Fraksi.1,Perolehan Suara Sah,Catatan
191,Jawa Tengah II,,"Dr. H. Musthofa S.E., M.M.",Komisi XI,,PDI-P,82.906,
192,Jawa Tengah II,,"Gilang Dhielafararez S.H., LL.M.",Komisi III,,PDI-P,71.437,
311,Jawa Tengah II,,"Nusron Wahid S.S., M.Si.",,,Golkar,204.248,[Ket. 28]
311,Jawa Tengah II,,Andhika Satya Wasistho,Komisi VII,,Golkar,49.333,[Ket. 29][3]
312,Jawa Tengah II,,Jamaludin Malik,Komisi XIII,,Golkar,118.402,
391,Jawa Tengah II,,Lestari Moerdijat,Komisi X,,NasDem,107.293,Wakil Ketua MPR RI
30,Jawa Tengah III,,Marwan Jafar,Komisi I,,PKB,87.631,
31,Jawa Tengah III,,Eva Monalisa,Komisi VII,,PKB,69.457,
109,Jawa Tengah III,,"Sudewo S.T., M.T.",,,Gerindra,125.601,[Ket. 30]
109,Jawa Tengah III,,Danang Wicaksana Sulistya,Komisi V,,Gerindra,34.066,[Ket. 31]
193,Jawa Tengah III,,"Haryanto S.H., M.M., M.Si.",Komisi V,,PDI-P,135.086,
194,Jawa Tengah III,,"Dr. Evita Nursanty S.H., M.Sc.",Komisi VII,,PDI-P,114.06,Wakil Ketua Komisi VII DPR RI
195,Jawa Tengah III,,"Dr. H. Edy Wuryanto S.Kp., M.Kep.",Komisi IX,,PDI-P,98.008,
313,Jawa Tengah III,,Firman Soebagyo,Komisi IV,,Golkar,96.215,
392,Jawa Tengah III,,"Hj. Sri Wulan S.E., M.M.",Komisi VIII,,NasDem,57.822,
555,Jawa Tengah III,,"Harmusa Oktaviani S.E., M.H.",Komisi V,,Demokrat,108.545,
110,Jawa Tengah IV,,Ir. Sriyanto Saputro M.M.,Komisi V,,Gerindra,58.13,
196,Jawa Tengah IV,,Ir. Bambang Wuryanto M.B.A.,Komisi XII,,PDI-P,118.384,Wakil Ketua MPR RI
197,Jawa Tengah IV,,Dolfie O. F. P. S.T.,Komisi XI,,PDI-P,107.552,Wakil Ketua Komisi XI DPR RI
198,Jawa Tengah IV,,Diah Pikatan O. Putri Haprani,Komisi XI,,PDI-P,101.125,
314,Jawa Tengah IV,,"Drs. Juliyatmono M.M., M.H.",Komisi X,,Golkar,97.157,
465,Jawa Tengah IV,,Drs. Hamid Noor Yasin M.M.,Komisi XIII,,PKS,92.242,
556,Jawa Tengah IV,,"Rinto Subekti S.E., M.M.",Komisi XIII,,Demokrat,122.943,Wakil Ketua Komisi XIII DPR RI
32,Jawa Tengah V,,H. Mohamad Toha M.Si.,Komisi II,,PKB,67.215,
111,Jawa Tengah V,,Adik Sasongko,Komisi XIII,,Gerindra,142.405,
199,Jawa Tengah V,,Puan Maharani,Komisi I,,PDI-P,297.366,Ketua DPR-RI
200,Jawa Tengah V,,Aria Bima,Komisi II,,PDI-P,115.123,Wakil Ketua Komisi II DPR RI
201,Jawa Tengah V,,"Rahmad Handoyo S.Pi., M.M.",,,PDI-P,76.414,[Ket. 32]
201,Jawa Tengah V,,"H. Didik Haryadi S.T., S.H.",Komisi XI,,PDI-P,74.75,[Ket. 33]
315,Jawa Tengah V,,"H. Singgih Januratmoko S.K.H., M.M.",Komisi VIII,,Golkar,125.067,Wakil Ketua Komisi VIII DPR RI
466,Jawa Tengah V,,"Dr. H. Abdul Kharis Almasyhari S.E., M.Si.",Komisi IV,,PKS,103.853,Wakil Ketua Komisi IV DPR RI
510,Jawa Tengah V,,Muhammad Hatta,Komisi VII,,PAN,72.369,
33,Jawa Tengah VI,,Abdullah,Komisi III,,PKB,106.817,
112,Jawa Tengah VI,,Prasetyo Hadi,,,Gerindra,105.58,[Ket. 34]
112,Jawa Tengah VI,,Azis Subekti M.T.,Komisi II,,Gerindra,17.368,[Ket. 35][2]
580,Jawa Tengah VI,,Ir. Sudjadi,,,PDI-P,169.106,[Ket. 36]
580,Jawa Tengah VI,,lowong,,,PDI-P,,
202,Jawa Tengah VI,,"Vita Ervina S.E., M.B.A.",Komisi XIII,,PDI-P,123.516,
203,Jawa Tengah VI,,Sofwan Dedy Ardyanto,Komisi V,,PDI-P,115.094,
316,Jawa Tengah VI,,Ir. Panggah Susanto M.M.,Komisi IV,,Golkar,91.866,Wakil Ketua Komisi IV DPR RI
393,Jawa Tengah VI,,Nafa Urbach,Komisi IX,,NasDem,67.652,
557,Jawa Tengah VI,,Bramantyo Suwondo M.,Komisi X,,Demokrat,118.361,Wakil Ketua Badan Kerjasama Antar Parlemen DPR RI
34,Jawa Tengah VII,,Drs. H. Taufiq R. Abdullah,Komisi I,,PKB,116.279,Wakil Ketua Badan Aspirasi Masyarakat DPR RI
113,Jawa Tengah VII,,"Ir. KRT. H. Darori Wonodipuro M.M., IPU.",Komisi IV,,Gerindra,62.152,
204,Jawa Tengah VII,,Drs. Utut Adianto,Komisi I,,PDI-P,116.794,Ketua Komisi I DPR RI
317,Jawa Tengah VII,,Dr. Bambang Soesatyo S.E.,Komisi III,,Golkar,80.468,
394,Jawa Tengah VII,,Amelia Anggraini,Komisi I,,NasDem,131.481,
467,Jawa Tengah VII,,Rofik Hananto S.E.,Komisi VII,,PKS,126.658,
511,Jawa Tengah VII,,Aqib Ardiansyah M.Si.,Komisi XII,,PAN,64.934,
35,Jawa Tengah VIII,,"Siti Mukaromah S.Ag., M.A.P.",Komisi VII,,PKB,79.505,
114,Jawa Tengah VIII,,"Hj. Novita Wijayanti S.M., M.M.",Komisi V,,Gerindra,163.92,Wakil Ketua Badan Urusan Rumah Tangga DPR RI
205,Jawa Tengah VIII,,Kaisar Kiasa Kasih Said Putra,Komisi XI,,PDI-P,132.872,
206,Jawa Tengah VIII,,Adisatrya Suryo Sulisto,Komisi VI,,PDI-P,132.482,Wakil Ketua Komisi VI DPR RI
318,Jawa Tengah VIII,,Teti Rohatiningsih S.Sos.,Komisi IX,,Golkar,84.8,
395,Jawa Tengah VIII,,Sugeng Suparwoto,Komisi XII,,NasDem,97.341,Wakil Ketua Komisi XII DPR RI
468,Jawa Tengah VIII,,H. Yanuar Arif Wibowo S.H.,Komisi V,,PKS,31.438,
558,Jawa Tengah VIII,,H. Wastam S.E.,Komisi V,,Demokrat,131.643,
36,Jawa Tengah IX,,Eka Widodo,Komisi II,,PKB,94.16,
115,Jawa Tengah IX,,"Mohamad Hekal B.Sc., M.B.A.",Komisi XI,,Gerindra,107.954,Wakil Ketua Komisi XI DPR RI
207,Jawa Tengah IX,,Shanty Alda Nathalia S.H.,Komisi XII,,PDI-P,196.355,
208,Jawa Tengah IX,,"Dr. Harris Turino S.T., S.H., M.Si., M.M.",Komisi XI,,PDI-P,105.967,
209,Jawa Tengah IX,,"Hj. Shintya Sandra Kusuma S.Hub.Int., M.A.B.",Komisi II,,PDI-P,91.305,
319,Jawa Tengah IX,,"Agung Widyantoro S.H., M.Si.",Komisi X,,Golkar,93.669,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI
469,Jawa Tengah IX,,Dr. H. Abdul Fikri Faqih M.M.,Komisi VIII,,PKS,107.427,
512,Jawa Tengah IX,,Wahyudin Noor Aly alias Goyud,Komisi II,,PAN,52.299,
37,Jawa Tengah X,,M. Hanif Dhakiri,Komisi XI,,PKB,88.244,Wakil Ketua Komisi XI DPR RI
116,Jawa Tengah X,,Dr. Ramson Siagian,Komisi XII,,Gerindra,80.552,
210,Jawa Tengah X,,Dede Indra Permana Soediro S.H.,Komisi III,,PDI-P,130.131,Wakil Ketua Komisi III DPR RI
320,Jawa Tengah X,,Ashraff Abu,Komisi IX,,Golkar,177.436,
321,Jawa Tengah X,,"Doni Akbar S.E., M.M.",Komisi VI,,Golkar,154.476,
396,Jawa Tengah X,,Yoyok Riyo Sudibyo,Komisi I,,NasDem,81.781,
470,Jawa Tengah X,,Rizal Bawazier,Komisi VI,,PKS,56.355,
38,Daerah Istimewa Yogyakarta,,Kaisar Abu Hanifah,Komisi VII,,PKB,109.955,
117,Daerah Istimewa Yogyakarta,,Siti Hediati Soeharto S.E.,Komisi IV,,Gerindra,145.489,Ketua Komisi IV DPR RI
211,Daerah Istimewa Yogyakarta,,M. Y. Esti Wijayati,Komisi X,,PDI-P,257.923,Wakil Ketua Komisi X DPR RI
212,Daerah Istimewa Yogyakarta,,G. M. Totok Hedi Santosa,Komisi VI,,PDI-P,73.35,
322,Daerah Istimewa Yogyakarta,,Drs. Gandung Pardiman M.M.,Komisi XII,,Golkar,94.777,
397,Daerah Istimewa Yogyakarta,,"H. Subardi S.H., M.H.",Komisi VI,,NasDem,83.275,
471,Daerah Istimewa Yogyakarta,,Dr. H. Sukamta,Komisi I,,PKS,112.482,
513,Daerah Istimewa Yogyakarta,,H. Totok Daryanto S.E.,Komisi XII,,PAN,70.8,
39,Jawa Timur I,,"Dr. Hj. Arzeti Bilbina Setyawan S.E., M.AP.",Komisi IX,,PKB,62.79,
118,Jawa Timur I,,Ir. H. Bambang Haryo Soekartono,Komisi VII,,Gerindra,190.741,
119,Jawa Timur I,,Dhani Ahmad Prasetyo S.H.,Komisi X,,Gerindra,134.227,
213,Jawa Timur I,,Puti Guntur Soekarno S.I.P.,Komisi X,,PDI-P,108.181,
214,Jawa Timur I,,"Indah Kurnia S.E., M.M.",Komisi IX,,PDI-P,61.705,Wakil Ketua Badan Urusan Rumah Tangga DPR RI
323,Jawa Timur I,,"Dr. Ir. H. Adies Kadir S.H., M.Hum.",Komisi III,,Golkar,147.185,Wakil Ketua DPR-RI
398,Jawa Timur I,,Lita Machfud Arifin,Komisi X,,NasDem,68.456,
472,Jawa Timur I,,"Reni Astuti S.Si., M.PSDM.",Komisi V,,PKS,50.057,
514,Jawa Timur I,,"Arizal Tom Liwafa S.T., M.M.",Komisi VII,,PAN,69.195,
559,Jawa Timur I,,Dra. Lucy Kurniasari,Komisi IX,,Demokrat,48.227,
40,Jawa Timur II,,"H. Faisol Riza S.S., M.A.",,,PKB,214.799,[Ket. 37]
40,Jawa Timur II,,Dra. Hj. Anisah Syakur M.Ag.,Komisi VI,,PKB,74.74,[Ket. 38][12]
41,Jawa Timur II,,"Dr. H. Mohammad Irsyad Yusuf S.E., M.M.A.",,,PKB,83.884,[Ket. 39]
41,Jawa Timur II,,"Muhammad Hilman Mufidi S.E., S.H.",Komisi X,,PKB,44.734,[Ket. 40][12]
120,Jawa Timur II,,Dr. H. Anwar Sadad M.Ag.,Komisi XIII,,Gerindra,93.471,
215,Jawa Timur II,,dr. H. Mufti A.N. Anam M.I.Kom.,Komisi VI,,PDI-P,77.048,
324,Jawa Timur II,,"Dr. H. Mukhamad Misbakhun S.E., M.H.",Komisi XI,,Golkar,98.736,Ketua Komisi XI DPR RI
399,Jawa Timur II,,Mohammad Haerul Amri S.P.,,,NasDem,56.311,[Ket. 41]
399,Jawa Timur II,,"Hj. Dini Rahmania S.A.P., M.M.",Komisi VIII,,NasDem,46.065,[Ket. 42]
515,Jawa Timur II,,H. Syaiful Nuri,Komisi VIII,,PAN,64.989,
42,Jawa Timur III,,"Dr. Hj. Nihayatul Wafiroh S.Ag., M.A.",Komisi IX,,PKB,122.829,Wakil Ketua Komisi IX DPR RI
43,Jawa Timur III,,Ir. H. M. Nasim Khan,Komisi VI,,PKB,120.884,
121,Jawa Timur III,,Ir. H. Sumail Abdullah M.T.,Komisi I,,Gerindra,109.846,
216,Jawa Timur III,,"Sonny Tri Danaparamita S.H., M.H.",Komisi IV,,PDI-P,75.44,
217,Jawa Timur III,,Ina Ammania,Komisi VIII,,PDI-P,60.265,
325,Jawa Timur III,,"Zulfikar Arse Sadikin S.I.P., M.Si.",Komisi II,,Golkar,118.331,Wakil Ketua Komisi II DPR RI
560,Jawa Timur III,,"Dina Lorenza Audria S.I.P., M.I.P.",Komisi VII,,Demokrat,52.983,
44,Jawa Timur IV,,H. Rivqy Abdul Halim S.E.,Komisi VI,,PKB,96.475,
45,Jawa Timur IV,,H. Ach. Ghufron Sirodj S.Th.I,,,PKB,88.094,[Ket. 43]
45,Jawa Timur IV,,H. Muhammad Khozin M.A.P.,Komisi II,,PKB,53.548,[Ket. 44][12]
122,Jawa Timur IV,,Bambang Haryadi S.E.,Komisi XII,,Gerindra,138.99,Wakil Ketua Komisi XII DPR RI
123,Jawa Timur IV,,"Kawendra Lukistian S.E., M.Sn.",Komisi VI,,Gerindra,49.835,
218,Jawa Timur IV,,Arif Wibowo,Komisi II,,PDI-P,103.109,
326,Jawa Timur IV,,H. Muhamad Nur Purnamasidi S.Sos.,Komisi X,,Golkar,69.864,
400,Jawa Timur IV,,"H. Charles Meikyansah S.Sos., M.I.Kom.",Komisi XI,,NasDem,124.402,
473,Jawa Timur IV,,"Amin Ak., M.M.",Komisi VI,,PKS,73.148,
46,Jawa Timur V,,"Hassanudin Wahid S.Ag., M.Hum.",Komisi XI,,PKB,125.353,
47,Jawa Timur V,,H. Ali Ahmad S.H.,Komisi II,,PKB,86.029,
124,Jawa Timur V,,Moreno Soeprapto S.Sos.,Komisi XII,,Gerindra,112.313,
125,Jawa Timur V,,H. Ma'ruf Mubarok S.H.,Komisi VII,,Gerindra,88.038,
219,Jawa Timur V,,"Dr. Ahmad Basarah S.H., M.H.",Komisi XIII,,PDI-P,89.769,
220,Jawa Timur V,,Ir. Andreas Eddy Susetyo M.M.,Komisi XI,,PDI-P,81.02,Ketua Badan Akuntabilitas Keuangan Negara DPR RI
327,Jawa Timur V,,Ahmad Irawan,Komisi II,,Golkar,60.471,
474,Jawa Timur V,,dr. Gamal M.Biomed.,Komisi X,,PKS,110.385,
48,Jawa Timur VI,,Dr. Hj. Anggia Erma Rini M.K.M.,Komisi VI,,PKB,151.118,Ketua Komisi VI DPR RI
49,Jawa Timur VI,,H. An'im Falachuddin,Komisi VIII,,PKB,69.741,
126,Jawa Timur VI,,Ir. Endro Hermono M.B.A.,Komisi VIII,,Gerindra,67.155,
221,Jawa Timur VI,,Pulung Agustanto,Komisi III,,PDI-P,165.869,
222,Jawa Timur VI,,Dra. Sri Rahayu,,,PDI-P,111.284,[Ket. 45]
222,Jawa Timur VI,,Romy Soekarno,Komisi II,,PDI-P,51.245,[Ket. 46]
328,Jawa Timur VI,,"M. Sarmuji S.E., M.S.",Komisi VI,,Golkar,183.045,
329,Jawa Timur VI,,Dr. Ir. Heru Tjahjono M.M.,Komisi IX,,Golkar,90.569,
401,Jawa Timur VI,,Nurhadi,Komisi IX,,NasDem,100.143,
516,Jawa Timur VI,,Ir. Ahmad Riski Sadig M.Si.,Komisi XI,,PAN,112.443,
50,Jawa Timur VII,,"H. Ahmad Iman Sukri S.H., M.Hum.",Komisi XIII,,PKB,119.702,Wakil Ketua Badan Legislasi DPR RI
127,Jawa Timur VII,,Drs. Supriyanto,Komisi V,,Gerindra,72.792,
223,Jawa Timur VII,,"Hj. Novita Hardini S.E., M.E.",Komisi VII,,PDI-P,148.232,
224,Jawa Timur VII,,Ir. Budi Sulistyono alias Kanang,Komisi VI,,PDI-P,115.425,
330,Jawa Timur VII,,"Dr. Ali Mufthi S.Ag., M.Si.",Komisi V,,Golkar,76.877,
475,Jawa Timur VII,,"Riyono S.Kel., M.Si.",Komisi IV,,PKS,38.525,
561,Jawa Timur VII,,"Dr. H. Edhie Baskoro Yudhoyono B.Com., M.Sc.",Komisi XII,,Demokrat,318.223,Wakil Ketua MPR RI
562,Jawa Timur VII,,"Sartono S.E., M.M.",Komisi VI,,Demokrat,75.309,
51,Jawa Timur VIII,,Rusdi Kirana S.E.,Komisi III,,PKB,121.08,Wakil Ketua MPR RI
52,Jawa Timur VIII,,Dr. (H.C.) Drs. H. A. Halim Iskandar M.Pd.,Komisi I,,PKB,107.011,
128,Jawa Timur VIII,,Mochamad Irfan Yusuf,,,Gerindra,77.433,[Ket. 47]
128,Jawa Timur VIII,,Bimantoro Wiyono S.H.,Komisi VIII,,Gerindra,72.639,[Ket. 48][2]
225,Jawa Timur VIII,,"Hj. Sadarestuwati S.P., M.M.A.",Komisi VI,,PDI-P,102.063,
226,Jawa Timur VIII,,Banyu Biru Djarot,Komisi VII,,PDI-P,54.325,
331,Jawa Timur VIII,,M. Yahya Zaini S.H.,Komisi IX,,Golkar,110.875,Wakil Ketua Komisi IX DPR RI
402,Jawa Timur VIII,,Muhammad Habibur Rochman S.E.,Komisi II,,NasDem,136.524,
476,Jawa Timur VIII,,Hj. Meitri Citra Wardani S.H.,Komisi XII,,PKS,117.957,
517,Jawa Timur VIII,,Abdul Hakim Bafagih,Komisi VI,,PAN,90.195,
563,Jawa Timur VIII,,Drs. H. Guntur Sasono M.Si.,Komisi IV,,Demokrat,53.73,"Ketua DPR sementara pada sidang paripurna pertama, selaku anggota dewan tertua.[16]"
53,Jawa Timur IX,,"Dr. Hj. Anna Mu'awanah S.E., M.H.",Komisi XI,,PKB,142.636,
54,Jawa Timur IX,,"Hj. Ratna Juwita Sari S.E., M.M.",Komisi XII,,PKB,110.885,
129,Jawa Timur IX,,"Wihadi Wijanto S.H., M.H.",Komisi XI,,Gerindra,94.53,Wakil Ketua Badan Anggaran DPR RI
227,Jawa Timur IX,,"H. Abidin Fikri S.H., M.H.",Komisi VIII,,PDI-P,77.967,Wakil Ketua Komisi VIII DPR RI
332,Jawa Timur IX,,Dra. Hj. Haeny Relawati Rini Widyastuti M.Si.,Komisi VIII,,Golkar,173.444,
333,Jawa Timur IX,,Eko Wahyudi,Komisi IV,,Golkar,119.381,
55,Jawa Timur X,,"Dr. H. Jazilul Fawaid S.Q., M.A.",Komisi III,,PKB,80.974,Wakil Ketua Badan Anggaran DPR RI
130,Jawa Timur X,,H. Khilmi,Komisi VI,,Gerindra,84.11,
228,Jawa Timur X,,H. Nasyirul Falah Amru S.E.,Komisi III,,PDI-P,167.514,
229,Jawa Timur X,,Nila Yani Hardiyanti S.I.Kom.,Komisi VII,,PDI-P,95.681,
334,Jawa Timur X,,Ahmad Labib,Komisi VI,,Golkar,78.174,
403,Jawa Timur X,,"Jiddan S.E., S.H.",Komisi XI,,NasDem,94.377,
56,Jawa Timur XI,,"H. Syafiuddin S.Sos., M.H.",Komisi V,,PKB,207.478,
131,Jawa Timur XI,,"R. H. Imron Amin S.H., M.H.",Komisi XI,,Gerindra,219.778,Wakil Ketua Mahkamah Kehormatan Dewan DPR RI
230,Jawa Timur XI,,M. H. Said Abdullah,Komisi XI,,PDI-P,528.815,Ketua Badan Anggaran DPR RI
231,Jawa Timur XI,,Ansari S.Pd.I.,Komisi VIII,,PDI-P,76.907,
335,Jawa Timur XI,,"Dr. Eric Hermawan M.T., M.M.",Komisi VII,,Golkar,155.619,
404,Jawa Timur XI,,"Willy Aditya S.Fil., M.Ds., M.Sc.",Komisi XIII,,NasDem,142.639,Ketua Komisi XIII DPR RI
518,Jawa Timur XI,,"H. Slamet Ariyadi S.Psi., M.Sos.",Komisi I,,PAN,154.942,
564,Jawa Timur XI,,"H. Hasani Bin Zuber S.IP., M.KP.",Komisi VIII,,Demokrat,236.655,
57,Banten I,,Ahmad Fauzi,Komisi V,,PKB,98.259,
132,Banten I,,"Ali Zamroni S.Sos., M.A.P.",Komisi X,,Gerindra,57.524,
232,Banten I,,Tia Rahmania,,,PDI-P,37.359,[Ket. 49]
232,Banten I,,Bonnie Triyana S.S.,Komisi X,,PDI-P,36.516,[Ket. 50]
336,Banten I,,"Dr. Hj. Adde Rosi Khoerunnisa S.Sos., M.Si.",Komisi X,,Golkar,61.848,
405,Banten I,,Arif Rahman,Komisi IV,,NasDem,46.469,
565,Banten I,,Rizki Aulia Rahman Natakusumah,Komisi I,,Demokrat,141.905,Ketua Badan Urusan Rumah Tangga DPR RI
133,Banten II,,Annisa M. A. Mahesa,Komisi XI,,Gerindra,122.470,"Wakil Ketua DPR sementara pada sidang paripurna pertama, selaku anggota dewan termuda."
233,Banten II,,Sarifah Ainun Jariyah S.I.P.,Komisi I,,PDI-P,83.150,
337,Banten II,,Tubagus Haerul Jaman S.E.,Komisi V,,Golkar,81.362,
406,Banten II,,"Prof. Dr. H. Furtasan Ali Yusuf S.E., S.Kom., M.M.",Komisi X,,NasDem,144.950,
477,Banten II,,Dr. H. Jazuli Juwaini M.A.,Komisi I,,PKS,82.685,
519,Banten II,,H. Edison Sitorus S.T.,Komisi XIII,,PAN,113.815,
58,Banten III,,"Moh. Rano Alfath S.H., M.H.",Komisi III,,PKB,125.853,Wakil Ketua Komisi III DPR RI
134,Banten III,,Prof. H. Sufmi Dasco Ahmad,Komisi III,,Gerindra,119.692,Wakil Ketua DPR-RI
234,Banten III,,Rano Karno,,,PDIP,149.397[18],[Ket. 51]
234,Banten III,,"Yulius Setiarto S.H., M.H.",Komisi I,,PDIP,68.694,[Ket. 52]
235,Banten III,,"Marinus Gea S.E., M.Ak.",Komisi XIII,,PDIP,74.909,
338,Banten III,,Airin Rachmi Diany,,,Golkar,302.878[18],[Ket. 53]
338,Banten III,,Drs. H. Mujakkir Zuhri,Komisi VII,,Golkar,41.707,[Ket. 54]
339,Banten III,,"Andi Achmad Dara S.E., M.AP.",Komisi XI,,Golkar,102.009,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI
407,Banten III,,Dr. H. Wahidin Halim M.Si.,Komisi VIII,,NasDem,104.946,
478,Banten III,,"Habib Idrus Salim Aljufri Lc., M.B.A.",Komisi I,,PKS,184.407,Wakil Ketua Badan Akuntabilitas Keuangan Negara DPR RI
520,Banten III,,"Okta Kumala Dewi S.E., M.Ak.",Komisi I,,PAN,65.106,
566,Banten III,,Zulfikar Hamonangan,Komisi XII,,Demokrat,105.657,
135,Bali,,I Dewa Gde Agung Widiarsana,Komisi XIII,,Gerindra,80.658,
236,Bali,,I Nyoman Parta S.H.,Komisi X,,PDIP,281.688,
237,Bali,,"I Gusti Ngurah Kesuma Kelakan S.T., M.Si.",Komisi VI,,PDIP,218.539,
238,Bali,,"I Wayan Sudirta S.H., M.H.",Komisi III,,PDIP,169.776,
239,Bali,,"I Nyoman Adi Wiryatama S.Sos., M.Si.",Komisi IV,,PDIP,165.374,
240,Bali,,⁠I Ketut Kariyasa Adnyana S.P.,Komisi VIII,,PDIP,84.51,
340,Bali,,"Gde Sumarjaya Linggih S.E., M.AP.",Komisi VI,,Golkar,100.747,
408,Bali,,Ir. I Nengah Senantara,Komisi VI,,NasDem,51.563,
567,Bali,,"Ni Putu Tutik Kusuma Wardhani S.M., M.M., M.Kes.",Komisi VI,,Demokrat,54.713,
59,Nusa Tenggara Barat I,,"Mahdalena S.S., M.M.",Komisi VIII,,PKB,173.144,
409,Nusa Tenggara Barat I,,H. Mori Hanafi S.E.,Komisi V,,NasDem,67.727,
479,Nusa Tenggara Barat I,,H. Johan Rosihan S.T.,Komisi IV,,PKS,65.445,
60,Nusa Tenggara Barat II,,H. Lalu Hadrian Irfani S.T.,Komisi X,,PKB,71.941,Wakil Ketua Komisi X DPR RI
136,Nusa Tenggara Barat II,,Apt. Hj. Lale Syifaun Nufus M.Farm.,Komisi VIII,,Gerindra,135.619,
241,Nusa Tenggara Barat II,,Rachmat Hidayat S.H.,Komisi I,,PDI-P,73.679,
341,Nusa Tenggara Barat II,,Ir. Hj. Sari Yuliati M.T.,Komisi III,,Golkar,119.444,Wakil Ketua Komisi III DPR RI
410,Nusa Tenggara Barat II,,"Fauzan Khalid S.Ag., M.Si.",Komisi II,,NasDem,59.569,
480,Nusa Tenggara Barat II,,"H. Abdul Hadi S.E., M.M.",Komisi V,,PKS,78.765,
521,Nusa Tenggara Barat II,,H. M. Muazzim Akbar S.I.P.,Komisi IX,,PAN,48.827,
568,Nusa Tenggara Barat II,,Dr. Ir. H. Nanang Samodra K. A. M.Sc.,Komisi VIII,,Demokrat,60.366,
61,Nusa Tenggara Timur I,,"N. M. Dipo Nusantara P. U. S.H., M.Kn.",Komisi XII,,PKB,73.249,
242,Nusa Tenggara Timur I,,Dr. Andreas Hugo Pareira,Komisi XIII,,PDI-P,173.295,Wakil Ketua Komisi XIII DPR RI
342,Nusa Tenggara Timur I,,Melchias Marcus Mekeng M.H.,Komisi XI,,Golkar,67.809,
411,Nusa Tenggara Timur I,,Julie Sutrisno Laiskodat,Komisi XI,,NasDem,57.522,
522,Nusa Tenggara Timur I,,Ahmad Yohan M.Si.,Komisi IV,,PAN,84.103,Wakil Ketua Komisi IV DPR RI
569,Nusa Tenggara Timur I,,Dr. Benny Kabur Harman S.H.,Komisi III,,Demokrat,79.335,
62,Nusa Tenggara Timur II,,Usman Husin,Komisi IV,,PKB,29.886,
137,Nusa Tenggara Timur II,,Ir. Esthon L. Foenay M.Si.,Komisi II,,Gerindra,43.115,
243,Nusa Tenggara Timur II,,Yohanis Fransiskus Lema,,,PDI-P,72.833,[Ket. 55]
243,Nusa Tenggara Timur II,,Stevano Rizki Adranacus,Komisi III,,PDI-P,46.673,[Ket. 56]
343,Nusa Tenggara Timur II,,Emanuel Melkiades Laka Lena,,,Golkar,95.138,[Ket. 57]
343,Nusa Tenggara Timur II,,"Dr. Umbu Kabunang Rudi Yanto Hunga S.H., M.H.",Komisi XIII,,Golkar,31.468,[Ket. 58]
344,Nusa Tenggara Timur II,,Gavriel Putranto Novanto,Komisi I,,Golkar,58.176,
412,Nusa Tenggara Timur II,,Ratu Ngadu Bonu Wulla S.T.,,,NasDem,76.331,[Ket. 59]
412,Nusa Tenggara Timur II,,"Dr. Viktor Bungtilu Laiskodat S.H., M.Si.",Komisi I,,NasDem,65.359,[Ket. 60]
570,Nusa Tenggara Timur II,,Anita Jacoba Gah,Komisi X,,Demokrat,131.396,
63,Kalimantan Barat I,,Daniel Johan,Komisi IV,,PKB,63.946,
138,Kalimantan Barat I,,Yuliansyah S.E.,Komisi V,,Gerindra,74.405,
244,Kalimantan Barat I,,Drs. Cornelis M.H.,Komisi XII,,PDI-P,158.088,
245,Kalimantan Barat I,,"Maria Lestari S.Pd., M.H.",Komisi VII,,PDI-P,82.378,
345,Kalimantan Barat I,,Maman Abdurrahman S.T.,,,Golkar,203.514,[Ket. 61]
345,Kalimantan Barat I,,Franciscus Maria Agustinus Sibarani,Komisi XIII,,Golkar,35.55,[Ket. 62][3]
413,Kalimantan Barat I,,H. Syarief Abdullah Alkadrie S.H.,Komisi V,,NasDem,166.115,Wakil Ketua Badan Anggaran DPR RI
481,Kalimantan Barat I,,"H. Alifudin S.E., M.M.",Komisi IX,,PKS,50.391,
523,Kalimantan Barat I,,Boyman Harun S.H.,Komisi V,,PAN,83.769,
246,Kalimantan Barat II,,"Lasarus S.Sos., M.Si.",Komisi V,,PDI-P,201.475,Ketua Komisi V DPR RI
247,Kalimantan Barat II,,"Paolus Hadi S.IP., M.Si.",Komisi IV,,PDI-P,64.616,
346,Kalimantan Barat II,,Dr. Drs. Adrianus Asia Sidot M.Si.,Komisi IV,,Golkar,40.806,
414,Kalimantan Barat II,,Gulam Mohamad Sharon,Komisi XII,,NasDem,101.214,
139,Kalimantan Tengah,,H. Iwan Kurniawan,Komisi II,,Gerindra,38.802,
248,Kalimantan Tengah,,Agustiar Sabran,,,PDI-P,97.772[20],[Ket. 63]
248,Kalimantan Tengah,,"Sigit Karyawan Yunianto S.H., M.A.P.",Komisi XII,,PDI-P,43.684,[Ket. 64]
347,Kalimantan Tengah,,Drs. Mukhtarudin,Komisi XII,,Golkar,92.192,
415,Kalimantan Tengah,,Andina Thresia Narang B.Comm.,Komisi I,,NasDem,41.298,
524,Kalimantan Tengah,,Muhammad Syauqie S.Hut.,Komisi V,,PAN,106.516,
571,Kalimantan Tengah,,Nadalsyah,,,Demokrat,92.311[20],[Ket. 65]
571,Kalimantan Tengah,,"Bambang Purwanto S.ST, M.H.",Komisi IV,,Demokrat,28.793,[Ket. 66]
140,Kalimantan Selatan I,,Muhammad Rofiqi S.H.,Komisi III,,Gerindra,42.577,
