No. Anggota,Daerah pemilihan,Potret,Nama,Komisi,Fraksi,Fraksi.1,Perolehan Suara Sah,Catatan
6,Riau I,,Iyeth Bustami,Komisi XII,,PKB,80.750,
76,Riau I,,Muhammad Rahul S.H.,Komisi III,,Gerindra,87.102,
163,Riau I,,Hj. Dewi Juliani S.H.,Komisi III,,PDI-P,99.345,
277,Riau I,,Syamsuar,,,Golkar,101.876[5],[Ket. 7]
277,Riau I,,dr. Maharani M.M.,Komisi IX,,Golkar,79.006,[Ket. 8]
278,Riau I,,"Dr. Hj. Karmila Sari S.Kom, M.M.",Komisi X,,Golkar,89.835,
441,Riau I,,H. Hendry Munief M.B.A.,Komisi VII,,PKS,50.085,
541,Riau I,,Dr. H. Achmad M.Si.,Komisi VIII,,Demokrat,80.186,
7,Riau II,,Abdul Wahid,,,PKB,101.876[7],[Ket. 9]
7,Riau II,,H. Mafirion,Komisi XIII,,PKB,16.394,[Ket. 10]
77,Riau II,,Muhammad Rohid,Komisi XII,,Gerindra,55.219,
164,Riau II,,Hj. Siti Aisyah,Komisi XIII,,PDI-P,37.331,
279,Riau II,,"Yulisman S.Si., M.M.",Komisi III,,Golkar,72.183,
442,Riau II,,"Dr. Syahrul Aidi Maazat Lc., M.A.",Komisi V,,PKS,104.142,
493,Riau II,,Ir. H. Sahidin,Komisi II,,PAN,43.168,
8,Jambi,,Elpisina,Komisi XIII,,PKB,63.261,
78,Jambi,,Rocky Candra,Komisi XII,,Gerindra,64.026,
165,Jambi,,Edi Purwanto M.Si.,Komisi V,,PDI-P,81.984,
280,Jambi,,Drs. H. Cek Endra,Komisi XII,,Golkar,100.112,
281,Jambi,,H. Hasan Basri Agus,Komisi VIII,,Golkar,87.884,
374,Jambi,,"Dr. H. Syarif Fasha S.E., M.E.",Komisi XII,,NasDem,72.885,
494,Jambi,,H. A. Bakri H. M. S.E.,Komisi V,,PAN,67.792,
542,Jambi,,H. Zulfikar Achmad,Komisi IX,,Demokrat,50.927,
9,Sumatera Selatan I,,H. S. N. Prana Putra Sohe,Komisi XIII,,PKB,103.369,
79,Sumatera Selatan I,,"Hj. Kartika Sandra Desi S.H., M.M.",Komisi IV,,Gerindra,105.879,
166,Sumatera Selatan I,,"Yulian Gunhar S.H., M.H.",Komisi XII,,PDI-P,78.317,
282,Sumatera Selatan I,,Drs. H. Kahar Muzakir,Komisi XI,,Golkar,185.597,Wakil Ketua MPR RI
283,Sumatera Selatan I,,Yudha Novanza Utama,Komisi I,,Golkar,123.382,
375,Sumatera Selatan I,,Fauzi H. Amro,Komisi XI,,NasDem,281.499,Wakil Ketua Komisi XI DPR RI
443,Sumatera Selatan I,,Drs. H. Mohd. Iqbal Romzi,Komisi X,,PKS,47.004,
543,Sumatera Selatan I,,Ir. H. Ishak Mekki M.M.,Komisi V,,Demokrat,76.475,
10,Sumatera Selatan II,,Bertu Merlas S.T.,Komisi XI,,PKB,128.017,
80,Sumatera Selatan II,,"Ahmad Wazir Noviadi S.Psi., M.Si.",Komisi II,,Gerindra,161.595,
81,Sumatera Selatan II,,Ir. Hj. Sri Meliyana,Komisi IX,,Gerindra,131.297,
167,Sumatera Selatan II,,"H. M. Giri Ramanda N. Kiemas S.E., M.M.",Komisi II,,PDI-P,94.474,
284,Sumatera Selatan II,,"Dewi Yustisiana S.H., M.Kn.",Komisi XII,,Golkar,115.429,
376,Sumatera Selatan II,,"Irma Suryani S.E., M.M.",Komisi IX,,NasDem,180.607,
444,Sumatera Selatan II,,H. Askweni S.Pd.,Komisi VIII,,PKS,28.873,
495,Sumatera Selatan II,,H. Iskandar S.E.,Komisi VI,,PAN,78.747,
544,Sumatera Selatan II,,"Wahyu Sanjaya S.E., M.M.",Komisi XI,,Demokrat,122.393,
168,Bengkulu,,Eko Kurnia Ningsih,Komisi IX,,PDI-P,100.505,
285,Bengkulu,,Hj. Derta Rohidin,Komisi VIII,,Golkar,136.113,
377,Bengkulu,,Erna Sari Dewi S.E.,Komisi VII,,NasDem,52.795,
496,Bengkulu,,Hj. Dewi Coryati M.Si.,Komisi X,,PAN,152.052,
11,Lampung I,,"Dr. H. Muhammad Kadafi S.H., M.H.",Komisi X,,PKB,127.64,
82,Lampung I,,H. Ahmad Muzani,Komisi I,,Gerindra,110.161,Ketua MPR RI
83,Lampung I,,"Ruby Chairani Syiffadia B.A. (Hons), M.Sc.",Komisi X,,Gerindra,66.71,
169,Lampung I,,Drs. Mukhlis Basri,Komisi V,,PDI-P,83.393,
170,Lampung I,,Sudin S.E.,Komisi III,,PDI-P,82.744,
286,Lampung I,,Rycko Menoza M.B.A.,Komisi VII,,Golkar,53.813,
378,Lampung I,,"Rahmawati Herdian S.H., M.Kn.",Komisi IX,,NasDem,94.133,
445,Lampung I,,Dr. Al Muzzammil Yusuf M.Si.,Komisi XIII,,PKS,65.452,
497,Lampung I,,Putri Zulkifli Hasan,Komisi XII,,PAN,127.6,Wakil Ketua Komisi XII DPR RI
545,Lampung I,,H. Zulkifli Anwar,Komisi II,,Demokrat,80.492,
12,Lampung II,,Hj. Chusnunia M.Si.,Komisi VII,,PKB,143.422,Wakil Ketua Komisi VII DPR RI
84,Lampung II,,Ir. Dwita Ria Gunadi,Komisi IV,,Gerindra,132.105,
85,Lampung II,,"Dr. Bob Hasan S.H., M.H.",Komisi III,,Gerindra,64.491,Ketua Badan Legislasi DPR RI
171,Lampung II,,drh. I Ketut Suwendra M.M.,Komisi IV,,PDI-P,62.907,
287,Lampung II,,Ir. Hanan A. Rozak M.S.,Komisi IV,,Golkar,93.83,
288,Lampung II,,H. Aprozi Alam S.E.,Komisi VIII,,Golkar,55.008,
379,Lampung II,,Tamanuri,Komisi V,,NasDem,63.978,
446,Lampung II,,Dr. Ir. H. A. Junaidi Auly M.M.,Komisi XI,,PKS,58.806,
498,Lampung II,,"Irham Jafar Lan Putra S.Hut., M.H.",Komisi IV,,PAN,72.819,
